make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,price_usd
2015,12.09,5000,Diesel,1,Nissan,Automatic,White,Full,2,No,12772.12
2016,14.03,800,Petrol,4,Chevrolet,Manual,White,Partial,0,Yes,6177.69
2005,20.4,2000,Petrol,1,Kia,Manual,Blue,Full,2,Yes,6850.02
1996,25.09,800,Diesel,3,Volkswagen,Manual,Silver,Full,0,Yes,3373.18
1995,19.25,5000,Diesel,5,Hyundai,Automatic,Black,Partial,0,No,7314.85
2011,30.59,1200,Diesel,3,Nissan,Automatic,Gray,Partial,1,No,6970.37
2023,13.49,1800,Diesel,1,Ford,Automatic,Gray,Full,1,Yes,9561.19
1999,17.74,4000,Diesel,1,Toyota,Automatic,Blue,Partial,0,Yes,9654.64
2004,17.97,1200,Diesel,4,Ford,Automatic,Blue,Partial,0,Yes,2847.78
1997,16.36,2500,Petrol,5,Tesla,Manual,Red,,2,Yes,3879.13
2013,15.75,4000,Diesel,2,Kia,Automatic,Red,Partial,0,Yes,10540.36
2008,11.35,5000,Diesel,1,Hyundai,Automatic,Blue,,0,No,11914.21
1999,16.09,1500,Petrol,4,BMW,Manual,Red,Full,0,Yes,4288.41
2022,26.68,2000,Petrol,5,Toyota,Automatic,Gray,Partial,1,Yes,7599.63
2010,22.04,1800,Petrol,3,Honda,Manual,Silver,Full,0,Yes,6018.2
2022,17.67,2000,Electric,1,Honda,Automatic,Blue,Full,0,Yes,12560.93
2013,24.66,1000,Petrol,3,Hyundai,Automatic,Silver,Partial,0,Yes,6066.57
2007,21.4,2000,Petrol,3,BMW,Manual,Black,Partial,0,Yes,7797.05
2023,9.61,1500,Diesel,4,Ford,Manual,Blue,Full,1,Yes,6332.13
2010,16.33,2000,Diesel,3,Volkswagen,Manual,Black,Partial,1,Yes,5161.36
1996,17.94,4000,Diesel,5,Chevrolet,Manual,Gray,,1,Yes,6098.37
2023,15.48,800,Petrol,1,Kia,Manual,White,Full,0,Yes,5679.29
2022,24.47,3000,Diesel,3,Honda,Manual,White,Full,0,Yes,11329.63
1996,13.69,1500,Diesel,4,Chevrolet,Automatic,Blue,Partial,1,Yes,2790.0
2002,16.07,4000,Diesel,1,Nissan,Manual,Blue,Partial,2,Yes,8078.36
2019,17.22,5000,Diesel,2,Nissan,Manual,Black,Full,0,Yes,13498.02
2023,16.25,800,Petrol,5,Tesla,Manual,Blue,Partial,1,Yes,5012.83
2004,20.39,2500,Diesel,1,Tesla,Manual,Gray,Full,1,Yes,7627.47
2002,15.51,800,Diesel,5,Ford,Automatic,Red,Partial,0,Yes,2464.15
2004,14.19,1200,Diesel,3,Tesla,Automatic,Black,,0,Yes,4293.92
2019,18.62,1800,Diesel,5,Volkswagen,Automatic,Red,Partial,0,No,8047.7
2019,19.96,1200,Petrol,2,Tesla,Automatic,Blue,Partial,0,Yes,6169.26
2007,16.33,2500,Petrol,2,Honda,Automatic,Blue,Full,0,Yes,8475.09
2023,18.72,4000,Diesel,3,Hyundai,Manual,White,Full,1,No,10044.52
2007,17.55,2500,Petrol,2,Honda,Automatic,Red,,0,No,8270.07
2019,15.97,2000,Diesel,1,Nissan,Automatic,Red,Partial,1,Yes,8490.93
1996,21.81,2500,Diesel,1,Honda,Automatic,White,Partial,0,Yes,6697.94
2001,15.7,3000,Petrol,4,BMW,Manual,White,Full,1,Yes,5452.33
2021,25.34,3000,Petrol,2,BMW,Automatic,Blue,Partial,0,Yes,12731.56
2017,23.53,1800,Petrol,1,Honda,Manual,Silver,Full,1,Yes,10290.09
1996,22.07,1800,Diesel,3,Tesla,Manual,Silver,Full,1,No,4849.69
2019,19.81,2500,Diesel,2,Ford,Automatic,Silver,,3,Yes,11251.36
2008,18.95,1200,Petrol,1,Tesla,Automatic,Blue,Partial,0,No,8585.84
2001,27.33,5000,Diesel,1,Ford,Manual,Black,Partial,0,Yes,12285.24
1997,20.11,1000,Petrol,4,Chevrolet,Manual,Blue,Partial,0,Yes,2912.35
2004,14.92,800,Diesel,4,Ford,Manual,White,Partial,0,Yes,1858.64
2003,23.84,1800,Petrol,3,Nissan,Manual,White,Full,0,Yes,6130.93
2014,21.44,1800,Electric,2,Ford,Manual,Blue,Partial,4,Yes,10769.76
2007,17.32,2000,Petrol,3,Volkswagen,Manual,Silver,Full,1,Yes,6796.79
2008,14.64,2000,Petrol,1,Nissan,Manual,Silver,,0,Yes,7760.86
2004,13.52,4000,Petrol,4,BMW,Automatic,Gray,Full,1,Yes,6389.33
1997,14.5,1200,Diesel,1,Ford,Manual,Blue,Full,0,Yes,4767.16
1998,13.64,1500,Petrol,4,Hyundai,Automatic,Black,Partial,1,Yes,4004.46
2017,21.36,800,Petrol,4,BMW,Automatic,Silver,Partial,0,Yes,5141.0
2007,24.05,2000,Diesel,5,Volkswagen,Manual,White,Full,1,No,7956.66
2009,17.87,3000,Petrol,4,Volkswagen,Automatic,Blue,Partial,0,Yes,8353.09
2010,20.57,2000,Diesel,1,Volkswagen,Automatic,Silver,Full,1,Yes,8343.11
2016,21.55,1200,Diesel,5,Chevrolet,Automatic,Blue,,0,No,5195.9
2006,11.75,800,Diesel,5,BMW,Automatic,Silver,,0,Yes,2408.26
2007,16.67,1500,Petrol,5,Nissan,Manual,Blue,Partial,1,Yes,2631.93
1999,20.21,2000,Diesel,2,Volkswagen,Manual,Red,Full,1,Yes,5439.61
2006,22.33,3000,Diesel,1,Ford,Automatic,White,Partial,0,No,9718.84
2006,17.37,1500,Petrol,4,Volkswagen,Automatic,Silver,Full,1,Yes,4828.82
2010,14.87,800,Petrol,3,Volkswagen,Manual,Red,Full,1,Yes,2462.72
2004,24.59,800,Diesel,5,Kia,Automatic,Red,,0,No,3166.47
1997,28.93,800,Petrol,3,BMW,Automatic,Red,Full,0,Yes,4768.88
2015,23.49,5000,Diesel,3,Toyota,Automatic,Gray,Full,0,Yes,11958.09
2005,24.74,3000,Petrol,4,Kia,Automatic,Silver,Partial,1,No,7037.56
2013,19.0,1200,Diesel,3,Hyundai,Automatic,Red,Partial,1,No,6551.32
2012,8.09,2000,Petrol,4,Volkswagen,Automatic,Blue,Partial,2,Yes,4672.29
2016,22.88,1800,Petrol,3,Ford,Automatic,Blue,Full,2,No,8533.64
2013,17.94,1000,Petrol,2,Honda,Manual,Black,Partial,0,No,5822.15
2011,20.23,800,Electric,4,Kia,Manual,Gray,,0,Yes,7281.79
2001,16.93,5000,Petrol,2,BMW,Automatic,Silver,Partial,1,No,9637.25
2023,14.53,1500,Diesel,3,Honda,Manual,Red,Full,1,Yes,7208.92
2019,27.53,4000,Petrol,4,Kia,Automatic,Gray,Full,0,Yes,11071.79
1996,8.66,1500,Petrol,4,Toyota,Automatic,White,Partial,1,No,1958.36
2018,18.13,800,Diesel,5,Chevrolet,Manual,White,Full,2,Yes,5863.26
2016,21.63,1500,Petrol,5,Nissan,Manual,Blue,Partial,0,Yes,5310.39
1997,15.0,4000,Petrol,1,Hyundai,Automatic,Red,Full,1,Yes,10713.71
2008,21.29,1500,Diesel,4,Chevrolet,Automatic,Black,Full,1,No,6351.71
1999,20.57,1200,Diesel,4,Honda,Automatic,Black,,1,Yes,3195.0
2018,20.24,1500,Diesel,1,Kia,Automatic,Silver,Full,0,Yes,7490.44
2021,21.27,4000,Petrol,3,Tesla,Manual,Blue,Full,0,Yes,10896.45
2016,26.63,4000,Petrol,2,Honda,Manual,Black,Full,2,No,11119.8
2012,6.37,5000,Petrol,4,Ford,Automatic,Black,Full,1,Yes,9885.1
2003,22.17,1000,Petrol,4,Honda,Manual,Black,Full,1,Yes,4353.94
2003,12.96,1800,Diesel,2,Tesla,Manual,Silver,Partial,1,Yes,6282.46
2010,15.32,2000,Diesel,4,Nissan,Automatic,Silver,Full,2,Yes,6470.38
2012,15.66,2500,Diesel,3,Chevrolet,Automatic,Red,Full,0,Yes,7548.84
1999,18.86,4000,Electric,1,Honda,Automatic,Gray,,0,Yes,13030.92
1997,18.92,800,Petrol,3,Tesla,Manual,Black,Partial,1,Yes,1000.0
2008,19.94,3000,Petrol,1,BMW,Manual,Black,Partial,1,Yes,9244.54
2002,20.23,1000,Petrol,3,Toyota,Automatic,Red,Full,1,Yes,4097.57
2008,14.55,4000,Petrol,5,Chevrolet,Manual,White,,0,Yes,8534.54
2013,13.31,800,Petrol,2,Kia,Manual,Gray,Full,0,No,5541.6
2006,15.6,5000,Petrol,1,Chevrolet,Manual,Blue,Full,0,Yes,10017.07
2006,27.19,1800,Petrol,1,Chevrolet,Automatic,Red,Partial,0,Yes,6789.77
2022,14.51,2000,Diesel,4,Tesla,Automatic,Silver,,0,Yes,6930.85
2014,10.94,5000,Petrol,1,BMW,Automatic,Black,Partial,0,Yes,13206.31
2004,18.43,1200,Diesel,5,Ford,Manual,Black,Full,1,Yes,1411.89
2018,15.57,2000,Petrol,3,Honda,Manual,Gray,Full,2,Yes,7940.49
2020,22.21,1800,Petrol,1,Hyundai,Manual,Silver,Partial,1,Yes,9906.49
2007,17.94,1200,Diesel,4,Tesla,Automatic,Red,,2,Yes,3370.84
2002,23.81,3000,Petrol,4,Tesla,Manual,Black,Full,1,Yes,7172.11
2023,21.02,4000,Petrol,1,Tesla,Manual,Silver,Partial,1,Yes,11183.46
2007,15.45,2000,Diesel,3,BMW,Manual,Blue,Partial,1,Yes,5923.33
2015,18.3,4000,Petrol,2,Ford,Automatic,Black,Partial,0,Yes,12522.23
2004,8.97,3000,Diesel,3,Tesla,Manual,Red,,0,Yes,3488.14
2011,15.5,800,Electric,4,Volkswagen,Manual,Black,Full,2,Yes,7006.96
1999,13.89,2000,Diesel,3,Hyundai,Automatic,Black,Partial,2,Yes,3725.76
2010,20.01,1800,Petrol,3,Ford,Manual,Silver,Full,1,Yes,8020.6
2013,17.43,2500,Petrol,2,Ford,Automatic,Gray,,0,No,6756.69
2008,17.31,800,Petrol,5,Ford,Manual,Gray,Full,1,No,3900.89
2013,16.65,1200,Diesel,2,Nissan,Manual,Silver,Partial,0,Yes,5460.5
2003,12.67,4000,Petrol,1,Honda,Automatic,White,Full,0,Yes,8865.74
2005,11.53,3000,Petrol,2,Nissan,Manual,Gray,Partial,1,Yes,7330.51
2020,15.88,1000,Diesel,5,Kia,Manual,Red,Full,2,Yes,6410.57
1997,18.72,4000,Diesel,4,Toyota,Manual,White,Full,1,Yes,7023.11
1997,18.91,2500,Diesel,1,Honda,Manual,Gray,Full,1,Yes,4065.0
2020,21.84,2000,Petrol,4,Hyundai,Manual,Blue,Full,0,Yes,8611.67
2007,18.38,4000,Petrol,2,BMW,Manual,White,,0,No,7981.91
2008,21.98,5000,Electric,4,Kia,Manual,Red,Full,0,Yes,14271.58
2023,17.22,1200,Petrol,4,Kia,Manual,Black,Full,2,Yes,5249.9
2020,21.5,1800,Petrol,4,Ford,Automatic,Gray,Partial,0,Yes,9086.84
2009,13.53,2500,Diesel,1,Kia,Automatic,Black,Full,1,No,7678.45
2013,15.47,1800,Diesel,5,Volkswagen,Automatic,Black,,0,No,4767.2
2011,30.71,3000,Diesel,1,Hyundai,Manual,Black,Partial,0,No,12788.13
2012,18.38,1500,Petrol,2,Toyota,Manual,Red,Full,0,No,7349.98
1996,26.2,1500,Petrol,1,Nissan,Manual,Black,Partial,1,Yes,4935.62
2006,14.98,1500,Diesel,5,Nissan,Manual,Red,Full,1,Yes,4124.14
2022,22.04,1000,Petrol,4,Volkswagen,Manual,Silver,Full,0,Yes,6449.99
2020,19.48,1000,Petrol,3,Kia,Automatic,Red,,0,No,7014.74
2018,21.01,1200,Diesel,3,Nissan,Automatic,Gray,,0,Yes,5689.54
2000,23.78,2500,Petrol,3,Honda,Manual,Blue,Full,0,Yes,7295.55
2007,6.23,1200,Petrol,5,Nissan,Automatic,Red,Full,0,Yes,3824.08
1998,16.94,1800,Petrol,5,Nissan,Automatic,White,Partial,0,Yes,3280.74
2002,11.07,800,Petrol,3,Chevrolet,Manual,Gray,Full,0,Yes,3694.77
2011,10.72,5000,Diesel,2,Nissan,Manual,Gray,Full,1,Yes,11689.98
1995,22.72,1800,Petrol,1,Ford,Automatic,Black,,1,Yes,5062.31
2003,21.15,3000,Petrol,3,Nissan,Manual,Black,Full,0,Yes,7364.01
1997,22.82,1800,Petrol,2,Nissan,Automatic,White,Partial,0,No,5295.95
2008,17.37,800,Petrol,1,Nissan,Automatic,Blue,Partial,3,Yes,6191.8
2023,17.6,1200,Diesel,1,Chevrolet,Manual,Black,,0,Yes,9565.19
2019,21.33,2500,Petrol,3,Honda,Manual,Blue,Full,0,Yes,6533.59
