make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,actual_price_usd,predicted_price_usd
2015,12.09,5000,Diesel,1,Nissan,Automatic,White,Full,2,No,12772.12,12131.611536101216
2016,14.03,800,Petrol,4,Chevrolet,Manual,White,Partial,0,Yes,6177.69,4688.8062640666885
2005,20.4,2000,Petrol,1,Kia,Manual,Blue,Full,2,Yes,6850.02,7069.833758404722
1996,25.09,800,Diesel,3,Volkswagen,Manual,Silver,Full,0,Yes,3373.18,3576.1260353367416
1995,19.25,5000,Diesel,5,Hyundai,Automatic,Black,Partial,0,No,7314.85,8034.572318604152
2011,30.59,1200,Diesel,3,Nissan,Automatic,Gray,Partial,1,No,6970.37,7079.620299302424
2023,13.49,1800,Diesel,1,Ford,Automatic,Gray,Full,1,Yes,9561.19,8616.768474452681
1999,17.74,4000,Diesel,1,Toyota,Automatic,Blue,Partial,0,Yes,9654.64,8844.87403714595
2004,17.97,1200,Diesel,4,Ford,Automatic,Blue,Partial,0,Yes,2847.78,3953.446752706438
1997,16.36,2500,Petrol,5,Tesla,Manual,Red,,2,Yes,3879.13,4211.843312161826
2013,15.75,4000,Diesel,2,Kia,Automatic,Red,Partial,0,Yes,10540.36,10283.364882592676
2008,11.35,5000,Diesel,1,Hyundai,Automatic,Blue,,0,No,11914.21,10920.0569073925
1999,16.09,1500,Petrol,4,BMW,Manual,Red,Full,0,Yes,4288.41,3572.896779812545
2022,26.68,2000,Petrol,5,Toyota,Automatic,Gray,Partial,1,Yes,7599.63,8411.568166858147
2010,22.04,1800,Petrol,3,Honda,Manual,Silver,Full,0,Yes,6018.2,6752.799150237302
2022,17.67,2000,Electric,1,Honda,Automatic,Blue,Full,0,Yes,12560.93,12310.376226411992
2013,24.66,1000,Petrol,3,Hyundai,Automatic,Silver,Partial,0,Yes,6066.57,6285.190137690806
2007,21.4,2000,Petrol,3,BMW,Manual,Black,Partial,0,Yes,7797.05,6612.762535269643
2023,9.61,1500,Diesel,4,Ford,Manual,Blue,Full,1,Yes,6332.13,6208.963663930845
2010,16.33,2000,Diesel,3,Volkswagen,Manual,Black,Partial,1,Yes,5161.36,6439.173717431935
1996,17.94,4000,Diesel,5,Chevrolet,Manual,Gray,,1,Yes,6098.37,6456.545490237007
2023,15.48,800,Petrol,1,Kia,Manual,White,Full,0,Yes,5679.29,7392.401590607565
2022,24.47,3000,Diesel,3,Honda,Manual,White,Full,0,Yes,11329.63,10662.775131495557
1996,13.69,1500,Diesel,4,Chevrolet,Automatic,Blue,Partial,1,Yes,2790.0,2699.470864827069
2002,16.07,4000,Diesel,1,Nissan,Manual,Blue,Partial,2,Yes,8078.36,9093.922444749187
2019,17.22,5000,Diesel,2,Nissan,Manual,Black,Full,0,Yes,13498.02,12809.915101213557
2023,16.25,800,Petrol,5,Tesla,Manual,Blue,Partial,1,Yes,5012.83,5442.734409207259
2004,20.39,2500,Diesel,1,Tesla,Manual,Gray,Full,1,Yes,7627.47,7628.3020385396285
2002,15.51,800,Diesel,5,Ford,Automatic,Red,Partial,0,Yes,2464.15,2349.674569568824
2004,14.19,1200,Diesel,3,Tesla,Automatic,Black,,0,Yes,4293.92,4008.6673400571153
